"名称","個別医薬品コード","長径","短径","直径","厚さ"
"ニトロダームTTS25mg","2171701S2037","5cm","3cm","",""
"ズファジラン錠10mg","2172002F1053","","","9.0mm","2.8mm"
"クロフィブラートカプセル250mg「ツルハラ」","2183002M1374","","","約8mm",""
"ベザトールSR錠200mg","2183005G1234","","","9.1mm","約4.1mm"
"ベザフィブラートSR錠200mg「日医工」","2183005G1269","","","9.0mm","4.2mm"
"ベザフィブラートSR錠200mg「サワイ」","2183005G1285","","","9.1mm","4.8mm"
"ベザフィブラート徐放錠200mg「JG」","2183005G1293","","","9.1mm","4.2mm"
"ベザフィブラート徐放錠200mg「トーワ」","2183005G1307","","","9.1mm","4.8mm"
"ベザフィブラート徐放錠200mg「ZE」","2183005G1315","","","9.1mm","4.0mm"
"ベザフィブラート徐放錠200mg「NIG」","2183005G1340","","","9.1mm","5.2mm"
"ベザトールSR錠100mg","2183005G2028","","","7.1mm","約3.4mm"
"ベザフィブラートSR錠100mg「日医工」","2183005G2109","","","7.1mm","3.8mm"
"ベザフィブラートSR錠100mg「サワイ」","2183005G2133","","","7.1mm","3.8mm"
"ベザフィブラート徐放錠100mg「JG」","2183005G2150","","","7.1mm","3.8mm"
"ベザフィブラート徐放錠100mg「トーワ」","2183005G2168","","","7.1mm","3.4mm"
"ベザフィブラート徐放錠100mg「ZE」","2183005G2176","","","7.1mm","3.8mm"
"ベザフィブラート徐放錠100mg「NIG」","2183005G2206","","","7.1mm","4.0mm"
"リピディル錠53.3mg","2183006F3023","","","7.5mm","3.4mm"
"フェノフィブラート錠53.3mg「武田テバ」","2183006F3040","","","7.5mm","3.4mm"
"リピディル錠80mg","2183006F4020","","","8.5mm","4.0mm"
"フェノフィブラート錠80mg「武田テバ」","2183006F4046","","","8.5mm","3.9mm"
"フェノフィブラートカプセル67mg「KTB」","2183006M3049","","","約14.5mm",""
"フェノフィブラートカプセル100mg「KTB」","2183006M4045","","","約17.8mm",""
"コレキサミン錠200mg","2189004F1335","","","8.5mm","4.4mm"
"EPLカプセル250mg","2189006M1058","","","19.0mm","7.8mm"
"ロレルコ錠250mg","2189008F1287","","","11.2mm","4.6mm"
"シンレスタール錠250mg","2189008F1376","","","9.7mm","5.8mm"
"プロブコール錠250mg「サワイ」","2189008F1465","","","10.1mm","5.3mm"
"メバロチン錠5","2189010F1039","","","6.5mm","約2.1mm"
"プラバスタチンNa錠5mg「チョーセイ」","2189010F1241","","","6.0mm","2.5mm"
"プラバスタチンナトリウム錠5mg「ツルハラ」","2189010F1250","","","約 6.0mm","約 2.5mm"
"プラバスタチンNa錠5mg「サワイ」","2189010F1330","","","6.5mm","2.1mm"
"プラバスタチンNa錠5mg「ケミファ」","2189010F1349","","","6.5mm","2.0mm"
"プラバスタチンNa錠5mg「トーワ」","2189010F1357","","","6.5mm","2.2mm"
"プラバスタチンNa錠5mg「オーハラ」","2189010F1373","","","6.5mm","2.4mm"
"プラバスタチンNa錠5mg「TCK」","2189010F1403","","","6.5mm","2.1mm"
"プラバスタチンNa錠5mg「Me」","2189010F1462","","","6.0（mm）","1.9（mm）"
"プラバスタチンナトリウム錠5mg「YD」","2189010F1489","","","約6mm","約2.6mm"
"プラバスタチンNa錠5mg「NIG」","2189010F1497","","","6.5mm","2.2mm"
"メバロチン錠10","2189010F2027","","","7.5mm","約2.6mm"
"プラバスタチンNa錠10mg「チョーセイ」","2189010F2272","","","7.5mm","2.5mm"
"プラバスタチンナトリウム錠10mg「ツルハラ」","2189010F2302","","","約 7.5mm","約 2.4mm"
"プラバスタチンNa錠10mg「サワイ」","2189010F2353","","","7.0mm","2.4mm"
"プラバスタチンNa錠10mg「ケミファ」","2189010F2361","","","7.5mm","3.0mm"
"プラバスタチンNa錠10mg「トーワ」","2189010F2370","","","7.5mm","2.6mm"
"プラバスタチンNa錠10mg「オーハラ」","2189010F2396","","","7.5mm","2.4mm"
"プラバスタチンNa錠10mg「TCK」","2189010F2426","","","7.5mm","2.5mm"
"プラバスタチンNa錠10mg「Me」","2189010F2485","","","7.0（mm）","2.4（mm）"
"プラバスタチンナトリウム錠10mg「YD」","2189010F2507","","","約7mm","約3mm"
"プラバスタチンNa錠10mg「NIG」","2189010F2515","","","7.5mm","2.5mm"
"リポバス錠5","2189011F1025","","","6.4mm","2.4mm"
"シンバスタチン錠5mg「SW」","2189011F1203","","","6.5mm","2.4mm"
"シンバスタチン錠5mg「トーワ」","2189011F1220","","","6.4mm","2.4mm"
"シンバスタチン錠5mg「YD」","2189011F1246","","","約6mm","約2.7mm"
"シンバスタチン錠5mg「EMEC」","2189011F1254","","","8.5mm","3.5mm"
"シンバスタチン錠5mg「オーハラ」","2189011F1262","","","6.5mm","2.3mm"
"シンバスタチン錠5mg「杏林」","2189011F1270","","","6.50mm","2.35mm"
"シンバスタチン錠5mg「あすか」","2189011F1289","","","6.5mm","2.3mm"
"シンバスタチン錠5mg「武田テバ」","2189011F1297","","","6.5mm","2.5mm"
"リポバス錠10","2189011F2021","","","8.0mm","3.0mm"
"シンバスタチン錠10mg「EMEC」","2189011F2145","","","8.0mm","3.1mm"
"シンバスタチン錠10mg「SW」","2189011F2170","","","8.0mm","3.1mm"
"シンバスタチン錠10mg「トーワ」","2189011F2196","","","8.0mm","3.0mm"
"シンバスタチン錠10mg「YD」","2189011F2218","","","約8mm","約3.1mm"
"シンバスタチン錠10mg「オーハラ」","2189011F2226","","","8.0mm","3.0mm"
"シンバスタチン錠10mg「杏林」","2189011F2234","","","8.00mm","3.10mm"
"シンバスタチン錠10mg「あすか」","2189011F2242","","","8.0mm","3.1mm"
"シンバスタチン錠10mg「武田テバ」","2189011F2250","","","8.0mm","3.1mm"
"リポバス錠20","2189011F3028","14.0mm","7.5mm","","4.6mm"
"シンバスタチン錠20mg「SW」","2189011F3095","","","15.0mm×6.8mm","4.6mm"
"シンバスタチン錠20mg「EMEC」","2189011F3133","","","11.0mm","4.5mm"
"シンバスタチン錠20mg「トーワ」","2189011F3184","15mm","6.8mm","","4.6mm"
"シンバスタチン錠20mg「YD」","2189011F3192","","","約11mm","約4.3mm"
"シンバスタチン錠20mg「オーハラ」","2189011F3206","14.0mm","7.5mm","","4.5mm"
"シンバスタチン錠20mg「あすか」","2189011F3214","","","11.1mm","4.5mm"
"フルバスタチン錠10mg「サワイ」","2189012F1038","","","5.7mm","2.4mm"
"フルバスタチン錠10mg「NIG」","2189012F1070","","","5.6mm","2.7mm"
"フルバスタチン錠20mg「サワイ」","2189012F2034","","","6.7mm","3.3mm"
"フルバスタチン錠20mg「NIG」","2189012F2077","","","6.6mm","3.8mm"
"フルバスタチン錠30mg「サワイ」","2189012F3030","","","7.7mm","3.9mm"
"フルバスタチン錠30mg「NIG」","2189012F3073","","","7.6mm","4.6mm"
"コレバイン錠500mg","2189014F1029","約16.8mm","約7.1mm","","約6.1mm"
"アトルバスタチン錠5mg「サワイ」","2189015F1058","","","5.6mm","2.7mm"
"アトルバスタチン錠5mg「サンド」","2189015F1066","","","5.6mm","2.6mm"
"アトルバスタチン錠5mg「トーワ」","2189015F1074","","","5.6mm","2.7mm"
"アトルバスタチン錠5mg「DSEP」","2189015F1082","","","5.6mm","3.1mm"
"アトルバスタチン錠5mg「NP」","2189015F1090","","","5.6mm","3.1mm"
"アトルバスタチン錠5mg「ZE」","2189015F1104","","","5.6mm","3.1mm"
"アトルバスタチン錠5mg「日医工」","2189015F1120","","","5.6mm","3.1mm"
"アトルバスタチン錠5mg「TSU」","2189015F1155","","","約 5.6mm","約 2.7mm"
"アトルバスタチン錠5mg「YD」","2189015F1163","","","約5.6mm","約2.9mm"
"アトルバスタチン錠5mg「杏林」","2189015F1171","","","アトルバ　5　杏林5.6","2.9"
"アトルバスタチン錠5mg「TCK」","2189015F1228","","","5.6mm","2.9mm"
"アトルバスタチン錠5mg「Me」","2189015F1236","","","5.6（mm）","2.6（mm）"
"アトルバスタチン錠10mg「サワイ」","2189015F2054","","","6.1mm","2.9mm"
"アトルバスタチン錠10mg「サンド」","2189015F2062","","","6.6mm","3.1mm"
"アトルバスタチン錠10mg「トーワ」","2189015F2070","","","7.1mm","3.4mm"
"アトルバスタチン錠10mg「DSEP」","2189015F2089","","","6.1mm","3.1mm"
"アトルバスタチン錠10mg「NP」","2189015F2097","","","6.1mm","3.1mm"
"アトルバスタチン錠10mg「ZE」","2189015F2100","","","6.1mm","3.1mm"
"アトルバスタチン錠10mg「日医工」","2189015F2127","","","6.1mm","3.1mm"
"アトルバスタチン錠10mg「TSU」","2189015F2151","","","約 6.1mm","約 2.8mm"
"アトルバスタチン錠10mg「YD」","2189015F2160","","","約6.1mm","約2.9mm"
"アトルバスタチン錠10mg「杏林」","2189015F2178","","","アトルバ　10　杏林6.1","2.9"
"アトルバスタチン錠10mg「TCK」","2189015F2224","","","6.1mm","2.9mm"
"アトルバスタチン錠10mg「Me」","2189015F2232","","","6.1（mm）","2.8（mm）"
"アトルバスタチンOD錠5mg「トーワ」","2189015F3026","","","7.0mm","3.3mm"
"アトルバスタチンOD錠10mg「トーワ」","2189015F4022","","","9.0mm","4.1mm"
"ピタバスタチンCa錠1mg「NP」","2189016F1060","","","6.1mm","2.7mm"
"ピタバスタチンCa錠1mg「TCK」","2189016F1079","","","6.1mm","2.7mm"
"ピタバスタチンCa錠1mg「YD」","2189016F1087","","","約6.1mm","約2.7mm"
"ピタバスタチンCa錠1mg「アメル」","2189016F1095","","","約6.1mm","約2.7mm"
"ピタバスタチンCa錠1mg「杏林」","2189016F1117","","","6.1mm","2.7mm"
"ピタバスタチンCa錠1mg「ケミファ」","2189016F1125","","","6.1mm","2.7mm"
"ピタバスタチンCa錠1mg「サワイ」","2189016F1133","","","6.1mm","2.8mm"
"ピタバスタチンCa錠1mg「三和」","2189016F1150","","","6.1mm","2.8mm"
"ピタバスタチンCa錠1mg「ツルハラ」","2189016F1176","","","約6.1mm","約2.7mm"
"ピタバスタチンCa錠1mg「トーワ」","2189016F1184","","","6.1mm","2.9mm"
"ピタバスタチンカルシウム錠1mg「ZE」","2189016F1230","","","6.1mm","2.7mm"
"ピタバスタチンカルシウム錠1mg「日医工」","2189016F1257","","","6.1mm","2.7mm"
"ピタバスタチンCa錠1mg「DK」","2189016F1281","","","6.1mm","2.7mm"
"ピタバスタチンCa錠1mg「VTRS」","2189016F1303","","","6.1mm","2.7mm"
"ピタバスタチンCa錠2mg「NP」","2189016F2067","","","7.1mm","3.0mm"
"ピタバスタチンCa錠2mg「TCK」","2189016F2075","","","7.1mm","2.9mm"
"ピタバスタチンCa錠2mg「YD」","2189016F2083","","","約7.2mm","約2.8mm"
"ピタバスタチンCa錠2mg「アメル」","2189016F2091","","","約7.2mm","約2.8mm"
"ピタバスタチンCa錠2mg「杏林」","2189016F2113","","","7.1mm","2.8mm"
"ピタバスタチンCa錠2mg「ケミファ」","2189016F2121","","","7.2mm","2.8mm"
"ピタバスタチンCa錠2mg「サワイ」","2189016F2130","","","7.1mm","2.9mm"
"ピタバスタチンCa錠2mg「三和」","2189016F2156","","","7.1mm","2.9mm"
"ピタバスタチンCa錠2mg「ツルハラ」","2189016F2172","","","約7.1mm","約3.1mm"
"ピタバスタチンCa錠2mg「トーワ」","2189016F2180","","","7.1mm","3.3mm"
"ピタバスタチンカルシウム錠2mg「ZE」","2189016F2237","","","7.1mm","3.0mm"
"ピタバスタチンカルシウム錠2mg「日医工」","2189016F2253","","","7.1mm","3.0mm"
"ピタバスタチンCa錠2mg「DK」","2189016F2288","","","7.1mm","2.8mm"
"ピタバスタチンCa錠2mg「VTRS」","2189016F2300","","","7.1mm","3.0mm"
"ピタバスタチンCa錠4mg「NP」","2189016F3063","","","8.6mm","3.9mm"
"ピタバスタチンCa錠4mg「アメル」","2189016F3071","","","約8.7mm","約3.9mm"
"ピタバスタチンCa錠4mg「サワイ」","2189016F3080","","","8.6mm","4.2mm"
"ピタバスタチンCa錠4mg「トーワ」","2189016F3101","","","9.1mm","4.1mm"
"ピタバスタチンカルシウム錠4mg「ZE」","2189016F3136","","","8.6mm","3.9mm"
"ピタバスタチンCa錠4mg「TCK」","2189016F3179","","","8.6mm","3.9mm"
"ピタバスタチンCa錠4mg「杏林」","2189016F3187","","","8.6mm","3.8mm"
"ピタバスタチンCa錠4mg「三和」","2189016F3195","","","8.6mm","3.8mm"
"ピタバスタチンカルシウム錠4mg「日医工」","2189016F3217","","","8.6mm","4.0mm"
"ピタバスタチンCa錠4mg「YD」","2189016F3233","","","約8.6mm","約4.1mm"
"ピタバスタチンCa錠4mg「ケミファ」","2189016F3241","","","8.6mm","4.1mm"
"ピタバスタチンCa錠4mg「ツルハラ」","2189016F3268","","","約8.6mm","約4.1mm"
"ピタバスタチンCa錠4mg「DK」","2189016F3284","","","8.6mm","3.8mm"
"ピタバスタチンCa錠4mg「VTRS」","2189016F3306","","","8.6mm","3.9mm"
"ピタバスタチンCa・OD錠1mg「トーワ」","2189016F4035","","","6.0mm","2.9mm"
"ピタバスタチンCa・OD錠1mg「サワイ」","2189016F4060","","","7.0mm","3.2mm"
"ピタバスタチンCa・OD錠1mg「杏林」","2189016F4086","","","6.0mm","2.8mm"
"ピタバスタチンCa・OD錠1mg「VTRS」","2189016F4124","","","6.0mm","2.8mm"
"ピタバスタチンCa・OD錠2mg「トーワ」","2189016F5031","","","8.0mm","3.4mm"
"ピタバスタチンCa・OD錠2mg「サワイ」","2189016F5066","","","8.0mm","3.4mm"
"ピタバスタチンCa・OD錠2mg「杏林」","2189016F5082","","","8.1mm","3.3mm"
"ピタバスタチンCa・OD錠2mg「VTRS」","2189016F5120","","","8.1mm","3.3mm"
"ピタバスタチンCa・OD錠4mg「トーワ」","2189016F6038","","","9.6mm","4.7mm"
"ピタバスタチンCa・OD錠4mg「サワイ」","2189016F6054","","","9.5mm","4.7mm"
"ピタバスタチンCa・OD錠4mg「杏林」","2189016F6070","","","9.6mm","4.7mm"
"ピタバスタチンCa・OD錠4mg「VTRS」","2189016F6119","","","9.6mm","4.7mm"
"クレストール錠2.5mg","2189017F1022","","","約5.5mm","約3.1mm"
"ロスバスタチン錠2.5mg「DSEP」","2189017F1030","","","約5.5mm","約3.1mm"
"ロスバスタチン錠2.5mg「TCK」","2189017F1073","","","6.1mm","2.5mm"
"ロスバスタチン錠2.5mg「YD」","2189017F1081","","","約6.1mm","約2.7mm"
"ロスバスタチン錠2.5mg「オーハラ」","2189017F1103","","","5.5mm","3.1mm"
"ロスバスタチン錠2.5mg「杏林」","2189017F1138","5.6mm","","","3.1mm"
"ロスバスタチン錠2.5mg「サワイ」","2189017F1154","","","5.6mm","3.2mm"
"ロスバスタチン錠2.5mg「三和」","2189017F1170","","","約6.1mm","約2.7mm"
"ロスバスタチン錠2.5mg「トーワ」","2189017F1219","","","5.7mm","3.2mm"
"ロスバスタチン錠2.5mg「日医工」","2189017F1227","","","5.6mm","3.0mm"
"ロスバスタチン錠2.5mg「ニプロ」","2189017F1243","","","5.6mm","3.1mm"
"ロスバスタチン錠2.5mg「ツルハラ」","2189017F1260","","","約5.6mm","約3.2mm"
"ロスバスタチン錠2.5mg「KMP」","2189017F1308","","","5.5mm","3.1mm"
"ロスバスタチン錠2.5mg「NIG」","2189017F1316","","","5.6mm","3.1mm"
"クレストール錠5mg","2189017F2029","","","約7mm","約3.8mm"
"ロスバスタチン錠5mg「DSEP」","2189017F2037","","","約7mm","約3.8mm"
"ロスバスタチン錠5mg「TCK」","2189017F2070","","","7.1mm","3.6mm"
"ロスバスタチン錠5mg「YD」","2189017F2088","","","約7.1mm","約3.9mm"
"ロスバスタチン錠5mg「オーハラ」","2189017F2100","","","7.0mm","3.9mm"
"ロスバスタチン錠5mg「杏林」","2189017F2134","7.1mm","","","3.8mm"
"ロスバスタチン錠5mg「サワイ」","2189017F2150","","","7.1mm","3.9mm"
"ロスバスタチン錠5mg「三和」","2189017F2177","","","約7.6mm","約3.4mm"
"ロスバスタチン錠5mg「トーワ」","2189017F2215","","","7.2mm","3.3mm"
"ロスバスタチン錠5mg「日医工」","2189017F2223","","","7.1mm","3.6mm"
"ロスバスタチン錠5mg「ニプロ」","2189017F2240","","","7.1mm","3.8mm"
"ロスバスタチン錠5mg「ツルハラ」","2189017F2266","","","約7.1mm","約3.6mm"
"ロスバスタチン錠5mg「KMP」","2189017F2304","","","7.0mm","3.9mm"
"ロスバスタチン錠5mg「NIG」","2189017F2312","","","7.1mm","3.8mm"
"クレストールOD錠2.5mg","2189017F3025","","","約6mm","約2.7mm"
"ロスバスタチンOD錠2.5mg「DSEP」","2189017F3033","","","約6mm","約2.7mm"
"ロスバスタチンOD錠2.5mg「TCK」","2189017F3076","","","5.6mm","3.1mm"
"ロスバスタチンOD錠2.5mg「YD」","2189017F3084","","","約5.6mm","約3.1mm"
"ロスバスタチンOD錠2.5mg「オーハラ」","2189017F3106","","","5.5mm","3.0mm"
"ロスバスタチンOD錠2.5mg「サワイ」","2189017F3149","","","7.5mm","3.9mm"
"ロスバスタチンOD錠2.5mg「三和」","2189017F3157","","","約5.6mm","約3.1mm"
"ロスバスタチンOD錠2.5mg「トーワ」","2189017F3173","","","7.0mm","3.3mm"
"ロスバスタチンOD錠2.5mg「日医工」","2189017F3181","","","5.6mm","3.1mm"
"ロスバスタチンOD錠2.5mg「ニプロ」","2189017F3190","","","5.5mm","3.1mm"
"ロスバスタチンOD錠2.5mg「明治」","2189017F3203","","","6.1（mm）","2.3（mm）"
"ロスバスタチンOD錠2.5mg「KMP」","2189017F3211","","","5.5mm","3.0mm"
"クレストールOD錠5mg","2189017F4021","","","約8mm","約3.1mm"
"ロスバスタチンOD錠5mg「DSEP」","2189017F4030","","","約8mm","約3.1mm"
"ロスバスタチンOD錠5mg「TCK」","2189017F4072","","","7.2mm","3.6mm"
"ロスバスタチンOD錠5mg「YD」","2189017F4080","","","約7.2mm","約3.6mm"
"ロスバスタチンOD錠5mg「オーハラ」","2189017F4102","","","7.0mm","3.9mm"
"ロスバスタチンOD錠5mg「サワイ」","2189017F4145","","","9.5mm","5.0mm"
"ロスバスタチンOD錠5mg「三和」","2189017F4153","","","約7.2mm","約3.6mm"
"ロスバスタチンOD錠5mg「トーワ」","2189017F4170","","","9.0mm","4.1mm"
"ロスバスタチンOD錠5mg「日医工」","2189017F4188","","","7.2mm","3.6mm"
"ロスバスタチンOD錠5mg「ニプロ」","2189017F4196","","","7.0mm","3.8mm"
"ロスバスタチンOD錠5mg「明治」","2189017F4200","","","7.6（mm）","3.0（mm）"
"ロスバスタチンOD錠5mg「KMP」","2189017F4218","","","7.0mm","3.9mm"
"ロスバスタチン錠10mg「トーワ」","2189017F5036","","","9.2mm","4.2mm"
"ロスバスタチンOD錠10mg「トーワ」","2189017F6024","","","12.0mm","4.9mm"
"ゼチーア錠10mg","2189018F1027","8.1mm","4.1mm","","2.4mm"
"エゼチミブ錠10mg「DSEP」","2189018F1035","8.1mm","4.1mm","","2.4mm"
"エゼチミブ錠10mg「JG」","2189018F1043","","","8.1mm","3.1mm"
"エゼチミブ錠10mg「TCK」","2189018F1078","","","8.2mm×4.2mm","2.6mm"
"エゼチミブ錠10mg「TE」","2189018F1086","8.1mm","4.1mm","","2.7mm"
"エゼチミブ錠10mg「YD」","2189018F1094","約8.1mm","約4.1mmm","","約2.7mm"
"エゼチミブ錠10mg「アメル」","2189018F1108","約8.2mm","約4.2mm","","約2.7mm"
"エゼチミブ錠10mg「杏林」","2189018F1116","8.1mm","4.1mm","","2.7mm"
"エゼチミブ錠10mg「サワイ」","2189018F1132","","","8.0mm×4.0mm","2.5mm"
"エゼチミブ錠10mg「サンド」","2189018F1140","約8.2mm","約4.2mm","","約2.6mm"
"エゼチミブ錠10mg「武田テバ」","2189018F1159","8.2mm","4.2mm","","2.55mm"
"エゼチミブ錠10mg「トーワ」","2189018F1167","8.1mm","4.1mm","","3.0mm"
"エゼチミブ錠10mg「日医工」","2189018F1175","","","8.2×4.2mm","2.7mm"
"エゼチミブ錠10mg「日新」","2189018F1183","8.1mm","4.1mm","",""
"エゼチミブ錠10mg「ニプロ」","2189018F1191","8.1mm","4.1mm","","2.6mm"
"エゼチミブ錠10mg「フェルゼン」","2189018F1205","8.2mm","4.2mm","","2.6mm"
"エゼチミブ錠10mg「明治」","2189018F1213","8.2（mm）","4.1（mm）","","2.6（mm）"
"エゼチミブOD錠10mg「トーワ」","2189018F2023","","","9.5mm","4.3mm"
"オメガ−3脂肪酸エチル粒状カプセル2g「ニプロ」","2189019M1071","","","4mm",""
"ジャクスタピッドカプセル5mg","2189020M1023","約19.4mm","約6.9mm","",""
"ジャクスタピッドカプセル10mg","2189020M2020","約19.4mm","約6.9mm","",""
"ジャクスタピッドカプセル20mg","2189020M3026","約19.4mm","約6.9mm","",""
"ネクセトール錠180mg","21890B1F1029","約14mm","約7mm","","約5mm"
"アトーゼット配合錠LD","2189101F1020","12.7mm","5.1mm","","4.5mm"
"アトーゼット配合錠HD","2189101F2026","14.5mm","5.8mm","","4.5mm"
"ロスーゼット配合錠LD","2189102F1024","","","7.1mm","3.2mm"
"エゼロス配合錠LD「サワイ」","2189102F1040","","","7.1mm","3.3mm"
"ロスーゼット配合錠HD","2189102F2020","","","8.1mm","3.2mm"
"エゼロス配合錠HD「サワイ」","2189102F2047","","","8.1mm","3.3mm"
"ガンマロン錠250mg","2190004F1034","","","10.2mm","5.9mm"
"セロクラール錠10mg","2190005F1225","","","8.1mm","3.7mm"
"イフェンプロジル酒石酸塩錠10mg「日医工」","2190005F1284","","","8.2mm","3.8mm"
"イフェンプロジル酒石酸塩錠10mg「YD」","2190005F1292","","","約7mm","約3.2mm"
"イフェンプロジル酒石酸塩錠10mg「トーワ」","2190005F1306","","","6.1mm","2.8mm"
"イフェンプロジル酒石酸塩錠10mg「サワイ」","2190005F1314","","","8.2mm","3.8mm"
"イフェンプロジル酒石酸塩錠10mg「ツルハラ」","2190005F1322","","","約7.0mm","約3.2mm"
"イフェンプロジル酒石酸塩錠10mg「あすか」","2190005F1330","","","6.0mm","2.5mm"
"セロクラール錠20mg","2190005F2051","","","8.1mm","3.7mm"
"イフェンプロジル酒石酸塩錠20mg「日医工」","2190005F2183","","","8.2mm","3.8mm"
"イフェンプロジル酒石酸塩錠20mg「YD」","2190005F2191","","","約8.1mm","約4.3mm"
"イフェンプロジル酒石酸塩錠20mg「トーワ」","2190005F2205","","","7.1mm","3.2mm"
"イフェンプロジル酒石酸塩錠20mg「サワイ」","2190005F2213","","","8.1mm","4.1mm"
"イフェンプロジル酒石酸塩錠20mg「ツルハラ」","2190005F2221","","","約7.1mm","約3.7mm"
"イフェンプロジル酒石酸塩錠20mg「あすか」","2190005F2230","","","7.0mm","2.4mm"
"ユベラNソフトカプセル200mg","2190006M2179","14.7mm","7.2mm","",""
"トコフェロールニコチン酸エステルカプセル200mg「サワイ」","2190006M2225","12.7mm","8.1mm","",""
"トコフェロールニコチン酸エステルカプセル200mg「TC」","2190006M2241","約12.8mm","約7.7mm","",""
"トコフェロールニコチン酸エステルカプセル200mg「ホリイ」","2190006M2250","約12.8mm","約7.7mm","",""
"サアミオン錠5mg","2190021F1348","","","6.2mm","3.0mm"
"ニセルゴリン錠5mg「トーワ」","2190021F1364","","","6.2mm","3.0mm"
"ニセルゴリン錠5mg「サワイ」","2190021F1437","","","6.1mm","3.7mm"
"ニセルゴリン錠5mg「NP」","2190021F1453","","","5.6mm","3.4mm"
"リズミック錠10mg","2190022F1024","","","約6.5mm","約2.3mm"
"アメジニウムメチル硫酸塩錠10mg「フソー」","2190022F1199","","","6.5mm","2.4mm"
"アメジニウムメチル硫酸塩錠10mg「日医工」","2190022F1202","","","6.0mm","2.5mm"
"アメジニウムメチル硫酸塩錠10mg「サワイ」","2190022F1237","","","6.0mm","2.5mm"
"アメジニウムメチル硫酸塩錠10mg「トーワ」","2190022F1245","","","6.5mm","2.3mm"
"沈降炭酸カルシウム錠500mg「三和」","2190024F1040","","","10mm","5.0mm"
"沈降炭酸カルシウム錠500mg「NIG」","2190024F1066","","","10.0mm","4.8mm"
"沈降炭酸カルシウム錠250mg「三和」","2190024F2038","","","8mm","3.9mm"
"沈降炭酸カルシウム錠250mg「NIG」","2190024F2062","","","7.5mm","4.0mm"
"レナジェル錠250mg","2190025F1036","","","9mm","6.2mm"
"ボセンタン錠62.5mg「DSEP」","2190026F1030","","","8.0mm","3.5mm"
"ボセンタン錠62.5mg「JG」","2190026F1049","","","6.2mm","3.0mm"
"ボセンタン錠62.5mg「サワイ」","2190026F1065","","","6.1mm","3.1mm"
"ケアロードLA錠60μg","2190027G1022","","","7.0mm","2.9mm"
"ベラサスLA錠60μg","2190027G1030","","","7.0mm","2.9mm"
"シルデナフィル錠20mgRE「JG」","2190028F1030","","","6.7mm","3.2mm"
"ホスレノールチュアブル錠250mg","2190029F1026","","","13mm","4.8mm"
"ホスレノールチュアブル錠500mg","2190029F2022","","","18mm","5.1mm"
"ホスレノールOD錠250mg","2190029F3029","","","10mm","4.6mm"
"炭酸ランタンOD錠250mg「イセイ」","2190029F3037","","","10.5mm","4.6mm"
"炭酸ランタンOD錠250mg「フソー」","2190029F3061","","","10.5mm","4.6mm"
"炭酸ランタンOD錠250mg「FCI」","2190029F3070","","","10mm","4.05mm"
"ホスレノールOD錠500mg","2190029F4025","","","13mm","5.4mm"
"炭酸ランタンOD錠500mg「イセイ」","2190029F4033","","","13mm","5.4mm"
"炭酸ランタンOD錠500mg「フソー」","2190029F4068","","","13mm","5.4mm"
"炭酸ランタンOD錠500mg「FCI」","2190029F4076","","","13mm","4.9mm"
"アドシルカ錠20mg","2190030F1029","約12.3mm","約7.6mm","","約5.0mm"
"タダラフィル錠20mgAD「TE」","2190030F1045","","","7.5mm","3.4mm"
"タダラフィル錠20mgAD「杏林」","2190030F1053","12.3mm","7.6mm","","5.0mm"
"タダラフィル錠20mgAD「サワイ」","2190030F1061","","","9.1mm","4.0mm"
"アンブリセンタン錠2.5mg「KMP」","2190031F1031","","","7.1mm","3.7mm"
"アンブリセンタン錠2.5mg「サワイ」","2190031F1040","","","7.1mm","3.7mm"
"リオナ錠250mg","2190033F1022","約14.9mm","約6.9mm","","約4.6mm"
"アデムパス錠0.5mg","2190034F1027","","","6mm","2.8mm"
"アデムパス錠1.0mg","2190034F2023","","","6mm","2.8mm"
"アデムパス錠2.5mg","2190034F3020","","","6mm","2.8mm"
"ピートルチュアブル錠250mg","2190036F1026","","","","約5.2mm"
"ピートルチュアブル錠500mg","2190036F2022","","","","約6.4mm"
"デムサーカプセル250mg","2190038M1024","約21.1mm","約7.5mm","",""
"コララン錠2.5mg","2190039F1020","約8.6mm","約4.6mm","","約2.6mm"
"コララン錠5mg","2190039F2026","約8.6mm","約4.6mm","","約2.6mm"
"コララン錠7.5mg","2190039F3022","約8.6mm","約4.6mm","","約2.6mm"
"エンレスト錠50mg","2190041F1027","13.1mm","5.2mm","","3.6mm"
"エンレスト錠100mg","2190041F2023","13.1mm","5.2mm","","3.7mm"
"エンレスト錠200mg","2190041F3020","15.1mm","6.0mm","","5.4mm"
"ベリキューボ錠2.5mg","2190042F1021","","","7mm","3.0mm"
"ベリキューボ錠5mg","2190042F2028","","","7mm","3.0mm"
"ベリキューボ錠10mg","2190042F3024","","","9mm","3.7mm"
"ケレンディア錠10mg","2190044F1020","10mm","5mm","","3.4mm"
"ケレンディア錠20mg","2190044F2027","10mm","5mm","","3.4mm"
"炭酸ランタンOD錠250mg「トーワ」","21900A7F1104","","","10mm","4.05mm"
"炭酸ランタンOD錠500mg「トーワ」","21900A7F2100","","","13mm","4.9mm"
"アマルエット配合錠1番「DSEP」","2190101F1039","","","6.6mm","2.7mm"
"アマルエット配合錠1番「TCK」","2190101F1063","","","6.1mm","2.6mm"
